product,type,quantity,selling_price,cost_price,shipping,fees,date,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Wireless Mouse,sale,4.0,5607.889138230363,3773.0,25.0,112.15778276460726,24-08-2023,,,,
Gaming Monitor,sale,3.0,1844.5823507213165,1239.0,27.0,36.89164701442633,25-04-2023,,,,
Bluetooth Speaker,purchase,11.0,0.0,1070.0,126.0,0.0,19-10-2023,,,,
Webcam,sale,2.0,896.0084165527095,545.0,19.0,17.92016833105419,12-11-2023,,,,
Webcam,purchase,36.0,0.0,1167.0,148.0,0.0,23-07-2023,,,,
Gaming Monitor,purchase,87.0,0.0,694.0,96.0,0.0,12-03-2023,,,,
Ethernet Adapter,sale,4.0,1584.3219526149546,1207.0,43.0,31.686439052299093,01-09-2023,,,,
External SSD,purchase,50.0,0.0,4339.0,51.0,0.0,20-02-2023,,,,
Gaming Monitor,sale,4.0,6430.036411617118,3934.0,48.0,128.60072823234236,27-05-2023,,,,
Laptop Stand,sale,4.0,1000.216001965266,771.0,40.0,20.00432003930532,07-02-2023,,,,
Wireless Mouse,sale,1.0,4951.795597529928,3322.0,35.0,99.03591195059857,08-02-2023,,,,
Wireless Mouse,sale,2.0,2221.7863171108625,1581.0,42.0,44.43572634221725,11-06-2023,,,,
USB-C Hub,sale,1.0,2080.2853464244668,1202.0,48.0,41.60570692848933,28-11-2023,,,,
Wireless Mouse,sale,1.0,1593.1775636924924,1098.0,43.0,31.86355127384985,12-07-2023,,,,
External SSD,sale,3.0,5926.769527538062,4724.0,6.0,118.53539055076124,07-02-2023,,,,
Ethernet Adapter,sale,4.0,3157.252384255007,2514.0,13.0,63.145047685100145,09-05-2023,,,,
Noise Cancelling Headphones,purchase,6.0,0.0,4464.0,139.0,0.0,10-02-2023,,,,
Bluetooth Speaker,sale,3.0,3411.5828668702875,2202.0,6.0,68.23165733740575,24-04-2023,,,,
Wireless Mouse,sale,4.0,1252.370499685708,946.0,43.0,25.047409993714158,06-09-2023,,,,
Gaming Monitor,sale,2.0,679.6371716255475,514.0,21.0,13.59274343251095,21-11-2023,,,,
Webcam,sale,4.0,7380.754894590779,4176.0,14.0,147.6150978918156,22-03-2023,,,,
Mechanical Keyboard,purchase,91.0,0.0,3366.0,21.0,0.0,25-07-2023,,,,
Ethernet Adapter,purchase,73.0,0.0,4650.0,25.0,0.0,05-12-2023,,,,
USB-C Hub,purchase,76.0,0.0,871.0,41.0,0.0,02-01-2023,,,,
Gaming Monitor,purchase,70.0,0.0,1379.0,30.0,0.0,01-04-2023,,,,
Gaming Monitor,sale,1.0,854.1064632141563,600.0,22.0,17.082129264283125,23-07-2023,,,,
Mechanical Keyboard,purchase,16.0,0.0,4379.0,18.0,0.0,21-10-2023,,,,
Webcam,sale,2.0,1013.316410079508,648.0,23.0,20.266328201590163,06-02-2023,,,,
Webcam,sale,1.0,2227.3826321616193,1544.0,46.0,44.54765264323239,05-12-2023,,,,
Ethernet Adapter,sale,1.0,5145.985888000434,3766.0,26.0,102.91971776000868,31-10-2023,,,,
Ethernet Adapter,sale,3.0,2543.294845319839,1573.0,33.0,50.865896906396785,07-12-2023,,,,
Wireless Mouse,sale,3.0,3051.7780211662325,2446.0,36.0,61.035560423324654,14-06-2023,,,,
Gaming Monitor,sale,3.0,7503.797206032138,4502.0,34.0,150.07594412064276,27-07-2023,,,,
Bluetooth Speaker,purchase,16.0,0.0,2397.0,131.0,0.0,24-11-2023,,,,
Laptop Stand,sale,3.0,4409.8244625053485,2923.0,18.0,88.19648925010698,08-03-2023,,,,
External SSD,purchase,2.0,0.0,4729.0,67.0,0.0,28-12-2023,,,,
Laptop Stand,purchase,24.0,0.0,3203.0,12.0,0.0,10-07-2023,,,,
Bluetooth Speaker,sale,2.0,1514.9967776275437,850.0,39.0,30.299935552550874,05-09-2023,,,,
Gaming Monitor,sale,4.0,4678.117099939475,3231.0,11.0,93.5623419987895,22-04-2023,,,,
Wireless Mouse,sale,3.0,5639.8174539603415,3315.0,40.0,112.79634907920683,19-06-2023,,,,
Noise Cancelling Headphones,sale,4.0,5530.506123830292,4133.0,43.0,110.61012247660585,20-03-2023,,,,
Webcam,sale,1.0,4522.24494864902,2754.0,15.0,90.44489897298041,07-01-2023,,,,
Wireless Mouse,sale,2.0,5334.898304776962,3632.0,13.0,106.69796609553923,10-10-2023,,,,
Wireless Mouse,sale,2.0,5969.678838304013,3456.0,24.0,119.39357676608026,03-02-2023,,,,
Bluetooth Speaker,sale,4.0,6599.478575052472,3684.0,46.0,131.98957150104943,05-09-2023,,,,
Gaming Monitor,sale,4.0,7768.277782342388,4884.0,36.0,155.36555564684775,02-08-2023,,,,
Bluetooth Speaker,sale,3.0,683.9355691516208,513.0,38.0,13.678711383032416,19-02-2023,,,,
Noise Cancelling Headphones,sale,2.0,8361.598016752316,4936.0,18.0,167.23196033504632,20-06-2023,,,,
External SSD,sale,2.0,7476.234450589807,4761.0,8.0,149.52468901179614,05-12-2023,,,,
Webcam,sale,4.0,6340.359311983602,3775.0,9.0,126.80718623967205,08-01-2023,,,,
Noise Cancelling Headphones,purchase,39.0,0.0,2087.0,147.0,0.0,12-01-2023,,,,
Bluetooth Speaker,sale,1.0,3111.280870490303,1740.0,6.0,62.22561740980606,07-01-2023,,,,
USB-C Hub,sale,3.0,2532.455829943637,1892.0,48.0,50.649116598872745,18-12-2023,,,,
Mechanical Keyboard,sale,3.0,7941.663451725509,4980.0,42.0,158.83326903451018,06-10-2023,,,,
USB-C Hub,sale,2.0,5579.69294155076,3700.0,34.0,111.59385883101521,09-05-2023,,,,
Bluetooth Speaker,sale,2.0,1119.937489128105,790.0,39.0,22.3987497825621,23-06-2023,,,,
External SSD,sale,1.0,818.3763111064745,580.0,47.0,16.36752622212949,03-04-2023,,,,
Wireless Mouse,sale,1.0,2535.583633962271,1441.0,34.0,50.711672679245424,19-11-2023,,,,
Noise Cancelling Headphones,sale,2.0,6712.7357005948215,4560.0,25.0,134.25471401189643,25-01-2023,,,,
Laptop Stand,sale,3.0,731.0678962822212,553.0,28.0,14.621357925644425,04-02-2023,,,,
Ethernet Adapter,purchase,6.0,0.0,4431.0,33.0,0.0,12-08-2023,,,,
Ethernet Adapter,purchase,78.0,0.0,3470.0,85.0,0.0,07-04-2023,,,,
External SSD,sale,4.0,4752.284641522034,3676.0,8.0,95.04569283044067,25-10-2023,,,,
